省份,城市,年,月,日,星期几,最高温度,最低温度,天气,风向,风力
福建,厦门,2014,1,10,星期五,14℃,9℃,阴,东北风,3-4级
福建,厦门,2014,1,11,星期六,18℃,11℃,多云,无持续风向,微风
福建,厦门,2014,1,12,星期日,19℃,11℃,多云,无持续风向,微风
福建,厦门,2014,1,13,星期一,17℃,10℃,阴,东北风,3-4级
福建,厦门,2014,1,14,星期二,16℃,7℃,多云,东北风,4-5级
福建,厦门,2014,1,15,星期三,15℃,7℃,晴,东北风,3-4级
福建,厦门,2014,1,16,星期四,17℃,9℃,晴,无持续风向,微风
福建,厦门,2014,1,17,星期五,19℃,9℃,多云,无持续风向,微风
福建,厦门,2014,1,18,星期六,17℃,8℃,多云,东北风,3-4级
福建,厦门,2014,1,19,星期日,16℃,7℃,多云,无持续风向,微风
福建,厦门,2014,1,20,星期一,19℃,8℃,多云,无持续风向,微风
福建,厦门,2014,1,21,星期二,15℃,6℃,多云,东北风,3-4级
福建,厦门,2014,1,22,星期三,14℃,5℃,多云,东北风,3-4级
福建,厦门,2014,1,23,星期四,16℃,7℃,多云,无持续风向,微风
福建,厦门,2014,1,24,星期五,19℃,11℃,晴,无持续风向,微风
福建,厦门,2014,1,25,星期六,22℃,12℃,多云,无持续风向,微风
福建,厦门,2014,1,26,星期日,17℃,10℃,阴,东北风,3-4级
福建,厦门,2014,1,27,星期一,18℃,9℃,多云,无持续风向,微风
福建,厦门,2014,1,28,星期二,20℃,12℃,多云,无持续风向,微风
福建,厦门,2014,1,29,星期三,22℃,13℃,多云,无持续风向,微风
福建,厦门,2014,1,30,星期四,24℃,12℃,晴,无持续风向,微风
福建,厦门,2014,1,31,星期五,24℃,15℃,多云,无持续风向,微风
河北,石家庄,2014,1,1,星期三,12℃,1℃,晴,西风,微风
河北,石家庄,2014,1,2,星期四,11℃,1℃,晴,南风,微风
河北,石家庄,2014,1,3,星期五,10℃,-2℃,晴,西北风,3-4级
河北,石家庄,2014,1,4,星期六,5℃,-4℃,晴,南风,微风
河北,石家庄,2014,1,5,星期日,7℃,-3℃,晴,南风,微风
河北,石家庄,2014,1,6,星期一,4℃,-2℃,多云,南风,微风
河北,石家庄,2014,1,7,星期二,2℃,-4℃,阴,北风,微风
河北,石家庄,2014,1,8,星期三,2℃,-6℃,多云,北风,微风
河北,石家庄,2014,1,9,星期四,1℃,-8℃,晴,南风,微风
河北,石家庄,2014,1,10,星期五,3℃,-4℃,晴,西南风,微风
河北,石家庄,2014,1,11,星期六,4℃,-4℃,晴,西南风,微风
河北,石家庄,2014,1,12,星期日,3℃,-6℃,晴,北风,3-4级
河北,石家庄,2014,1,13,星期一,4℃,-6℃,晴,南风,微风
河北,石家庄,2014,1,14,星期二,4℃,-5℃,晴,西北风,微风
河北,石家庄,2014,1,15,星期三,3℃,-5℃,晴,南风,微风
河北,石家庄,2014,1,16,星期四,4℃,-5℃,多云,南风,微风
河北,石家庄,2014,1,17,星期五,4℃,-5℃,晴,西北风,3-4级
河北,石家庄,2014,1,18,星期六,5℃,-3℃,晴,南风,微风
河北,石家庄,2014,1,19,星期日,6℃,-2℃,多云,西北风,微风
河北,石家庄,2014,1,20,星期一,8℃,-6℃,晴,西北风,微风
河北,石家庄,2014,1,21,星期二,6℃,-5℃,晴,南风,微风
河北,石家庄,2014,1,22,星期三,6℃,-5℃,晴,南风,微风
河北,石家庄,2014,1,23,星期四,6℃,-3℃,晴,南风,微风
河北,石家庄,2014,1,24,星期五,4℃,-2℃,多云,南风,微风
河北,石家庄,2014,1,25,星期六,5℃,-4℃,晴,北风,微风
河北,石家庄,2014,1,26,星期日,6℃,-2℃,晴,南风,微风
河北,石家庄,2014,1,27,星期一,6℃,-4℃,晴,北风,微风
河北,石家庄,2014,1,28,星期二,4℃,-3℃,晴,南风,微风
河北,石家庄,2014,1,29,星期三,11℃,-2℃,晴,南风,微风
河北,石家庄,2014,1,30,星期四,9℃,-3℃,晴,南风,微风
河北,石家庄,2014,1,31,星期五,7℃,-3℃,多云,南风,微风
辽宁,沈阳,2014,1,1,星期三,0℃,-14℃,多云,西北风,3-4级
辽宁,沈阳,2014,1,2,星期四,3℃,-13℃,晴,西南风,5-6级
辽宁,沈阳,2014,1,3,星期五,-1℃,-16℃,晴,东北风,3-4级
辽宁,沈阳,2014,1,4,星期六,-2℃,-10℃,多云,东南风,微风
辽宁,沈阳,2014,1,5,星期日,-3℃,-13℃,阵雪,东北风,3-4级
辽宁,沈阳,2014,1,6,星期一,2℃,-11℃,晴,西南风,5-6级
辽宁,沈阳,2014,1,7,星期二,-3℃,-16℃,多云,北风,5-6级
辽宁,沈阳,2014,1,8,星期三,-9℃,-21℃,晴,北风,5-6级
辽宁,沈阳,2014,1,9,星期四,-7℃,-20℃,晴,西风,微风
辽宁,沈阳,2014,1,10,星期五,-4℃,-17℃,晴,西南风,微风
辽宁,沈阳,2014,1,11,星期六,-2℃,-17℃,多云,西南风,微风
辽宁,沈阳,2014,1,12,星期日,-10℃,-24℃,晴,北风,3-4级
辽宁,沈阳,2014,1,13,星期一,-7℃,-22℃,晴,东南风,微风
辽宁,沈阳,2014,1,14,星期二,-4℃,-14℃,晴,西南风,微风
辽宁,沈阳,2014,1,15,星期三,0℃,-13℃,晴,西南风,3-4级
辽宁,沈阳,2014,1,16,星期四,-5℃,-15℃,多云,东北风,3-4级
辽宁,沈阳,2014,1,17,星期五,-5℃,-17℃,多云,北风,3-4级
辽宁,沈阳,2014,1,18,星期六,-5℃,-17℃,晴,东北风,微风
辽宁,沈阳,2014,1,19,星期日,-2℃,-14℃,小雪,南风,3-4级
辽宁,沈阳,2014,1,20,星期一,-10℃,-18℃,多云,北风,5-6级
辽宁,沈阳,2014,1,21,星期二,-8℃,-20℃,晴,北风,微风
辽宁,沈阳,2014,1,22,星期三,1℃,-7℃,晴,南风,3-4级
辽宁,沈阳,2014,1,23,星期四,6℃,-9℃,多云,西南风,5-6级
辽宁,沈阳,2014,1,24,星期五,1℃,-11℃,多云,北风,微风
辽宁,沈阳,2014,1,25,星期六,-4℃,-16℃,晴,东北风,4-5级
辽宁,沈阳,2014,1,26,星期日,0℃,-5℃,晴,西南风,4-5级
辽宁,沈阳,2014,1,27,星期一,4℃,-13℃,多云,西南风,5-6级
辽宁,沈阳,2014,1,28,星期二,-5℃,-10℃,晴,西南风,3-4级
辽宁,沈阳,2014,1,29,星期三,6℃,-10℃,多云,西南风,5-6级
辽宁,沈阳,2014,1,30,星期四,-2℃,-14℃,晴,北风,3-4级
辽宁,沈阳,2014,1,31,星期五,3℃,-6℃,多云,南风,3-4级
黑龙江,哈尔滨,2014,1,1,星期三,-12℃,-22℃,多云,西风,3-4级
黑龙江,哈尔滨,2014,1,2,星期四,-12℃,-23℃,阵雪,东南风,3-4级
黑龙江,哈尔滨,2014,1,3,星期五,-15℃,-27℃,晴,北风,3-4级
黑龙江,哈尔滨,2014,1,4,星期六,-16℃,-28℃,晴,南风,3-4级
黑龙江,哈尔滨,2014,1,5,星期日,-16℃,-29℃,晴,南风,3-4级
黑龙江,哈尔滨,2014,1,6,星期一,-9℃,-19℃,晴,西南风,3-4级
黑龙江,哈尔滨,2014,1,7,星期二,-10℃,-24℃,多云,西风,3-4级
黑龙江,哈尔滨,2014,1,8,星期三,-16℃,-26℃,多云,西风,3-4级
黑龙江,哈尔滨,2014,1,9,星期四,-15℃,-27℃,晴,西南风,3-4级
黑龙江,哈尔滨,2014,1,10,星期五,-13℃,-24℃,晴,西南风,3-4级
黑龙江,哈尔滨,2014,1,11,星期六,-14℃,-30℃,多云,北风,3-4级
黑龙江,哈尔滨,2014,1,12,星期日,-20℃,-32℃,晴,西北风,3-4级
黑龙江,哈尔滨,2014,1,13,星期一,-20℃,-31℃,晴,西风,3-4级
黑龙江,哈尔滨,2014,1,14,星期二,-17℃,-24℃,多云,南风,3-4级
黑龙江,哈尔滨,2014,1,15,星期三,-11℃,-28℃,多云,北风,3-4级
黑龙江,哈尔滨,2014,1,16,星期四,-15℃,-33℃,晴,西风,3-4级
黑龙江,哈尔滨,2014,1,17,星期五,-20℃,-25℃,多云,北风,3-4级
黑龙江,哈尔滨,2014,1,18,星期六,-17℃,-30℃,晴,西北风,3-4级
黑龙江,哈尔滨,2014,1,19,星期日,-15℃,-22℃,多云,东南风,3-4级
黑龙江,哈尔滨,2014,1,20,星期一,-11℃,-25℃,多云,北风,3-4级
黑龙江,哈尔滨,2014,1,21,星期二,-12℃,-20℃,晴,西南风,3-4级
黑龙江,哈尔滨,2014,1,22,星期三,-9℃,-14℃,晴,西南风,3-4级
黑龙江,哈尔滨,2014,1,23,星期四,-2℃,-18℃,多云,西南风,3-4级
黑龙江,哈尔滨,2014,1,24,星期五,-8℃,-22℃,阵雪,西风,微风
黑龙江,哈尔滨,2014,1,25,星期六,-12℃,-23℃,多云,西风,3-4级
黑龙江,哈尔滨,2014,1,26,星期日,-10℃,-15℃,晴,西南风,4-5级
黑龙江,哈尔滨,2014,1,27,星期一,-4℃,-22℃,阵雪,西风,4-5级
黑龙江,哈尔滨,2014,1,28,星期二,-14℃,-21℃,晴,西风,3-4级
黑龙江,哈尔滨,2014,1,29,星期三,-7℃,-17℃,中雪,东南风,3-4级
黑龙江,哈尔滨,2014,1,30,星期四,-14℃,-24℃,晴,西北风,3-4级
黑龙江,哈尔滨,2014,1,31,星期五,-11℃,-24℃,晴,西风,3-4级
山东,济南,2014,1,1,星期三,12℃,1℃,晴,南风,微风
山东,济南,2014,1,2,星期四,12℃,-1℃,多云,南风,微风
山东,济南,2014,1,3,星期五,8℃,-2℃,晴,北风,3-4级
山东,济南,2014,1,4,星期六,8℃,-1℃,晴,南风,微风
山东,济南,2014,1,5,星期日,7℃,-1℃,霾,北风,微风
山东,济南,2014,1,6,星期一,7℃,1℃,多云,南风,微风
山东,济南,2014,1,7,星期二,5℃,-3℃,雨夹雪,北风,微风
山东,济南,2014,1,8,星期三,2℃,-6℃,晴,北风,微风
山东,济南,2014,1,9,星期四,4℃,-4℃,晴,南风,微风
山东,济南,2014,1,10,星期五,6℃,-2℃,晴,南风,微风
山东,济南,2014,1,11,星期六,6℃,-4℃,霾,南风,微风
山东,济南,2014,1,12,星期日,3℃,-5℃,晴,北风,3-4级
山东,济南,2014,1,13,星期一,5℃,-4℃,晴,南风,微风
山东,济南,2014,1,14,星期二,5℃,-2℃,多云,南风,微风
山东,济南,2014,1,15,星期三,7℃,0℃,多云,南风,微风
山东,济南,2014,1,16,星期四,7℃,-3℃,多云,南风,微风
山东,济南,2014,1,17,星期五,3℃,-4℃,霾,北风,3-4级
山东,济南,2014,1,18,星期六,7℃,0℃,晴,南风,微风
山东,济南,2014,1,19,星期日,8℃,-3℃,多云,南风,3-4级
山东,济南,2014,1,20,星期一,4℃,-5℃,晴,北风,3-4级
山东,济南,2014,1,21,星期二,4℃,-2℃,晴,北风,微风
山东,济南,2014,1,22,星期三,9℃,3℃,晴,南风,3-4级
山东,济南,2014,1,23,星期四,12℃,4℃,晴,南风,3-4级
山东,济南,2014,1,24,星期五,12℃,0℃,多云,北风,微风
山东,济南,2014,1,25,星期六,8℃,-2℃,晴,北风,3-4级
山东,济南,2014,1,26,星期日,8℃,4℃,晴,南风,3-4级
山东,济南,2014,1,27,星期一,12℃,0℃,晴,南风,3-4级
山东,济南,2014,1,28,星期二,9℃,3℃,晴,北风,微风
山东,济南,2014,1,29,星期三,13℃,3℃,多云,南风,3-4级
山东,济南,2014,1,30,星期四,11℃,4℃,晴,北风,3-4级
山东,济南,2014,1,31,星期五,13℃,5℃,霾,南风,微风
云南,昆明,2014,1,1,星期三,19℃,2℃,晴,无持续风向,微风
云南,昆明,2014,1,2,星期四,19℃,4℃,晴,无持续风向,微风
云南,昆明,2014,1,3,星期五,18℃,3℃,晴,无持续风向,微风
云南,昆明,2014,1,4,星期六,15℃,3℃,晴,无持续风向,微风
云南,昆明,2014,1,5,星期日,18℃,3℃,晴,无持续风向,微风
云南,昆明,2014,1,6,星期一,19℃,5℃,晴,无持续风向,微风
云南,昆明,2014,1,7,星期二,19℃,2℃,晴,无持续风向,微风
云南,昆明,2014,1,8,星期三,18℃,2℃,晴,无持续风向,微风
云南,昆明,2014,1,9,星期四,16℃,6℃,晴,无持续风向,微风
云南,昆明,2014,1,10,星期五,18℃,4℃,晴,无持续风向,微风
云南,昆明,2014,1,11,星期六,18℃,4℃,晴,无持续风向,微风
云南,昆明,2014,1,12,星期日,15℃,1℃,多云,无持续风向,微风
云南,昆明,2014,1,13,星期一,7℃,1℃,雨夹雪,无持续风向,微风
云南,昆明,2014,1,14,星期二,14℃,1℃,多云,无持续风向,微风
云南,昆明,2014,1,15,星期三,15℃,4℃,晴,无持续风向,微风
云南,昆明,2014,1,16,星期四,16℃,3℃,晴,无持续风向,微风
云南,昆明,2014,1,17,星期五,8℃,3℃,阴,无持续风向,微风
云南,昆明,2014,1,18,星期六,15℃,2℃,晴,无持续风向,微风
云南,昆明,2014,1,19,星期日,16℃,-1℃,多云,无持续风向,微风
云南,昆明,2014,1,20,星期一,5℃,-1℃,雨夹雪,无持续风向,微风
云南,昆明,2014,1,21,星期二,12℃,0℃,晴,无持续风向,微风
云南,昆明,2014,1,22,星期三,15℃,0℃,晴,无持续风向,微风
云南,昆明,2014,1,23,星期四,18℃,4℃,晴,无持续风向,微风
云南,昆明,2014,1,24,星期五,21℃,5℃,晴,无持续风向,微风
云南,昆明,2014,1,25,星期六,21℃,3℃,晴,无持续风向,微风
云南,昆明,2014,1,26,星期日,21℃,3℃,晴,无持续风向,微风
云南,昆明,2014,1,27,星期一,20℃,5℃,晴,无持续风向,微风
云南,昆明,2014,1,28,星期二,21℃,4℃,晴,无持续风向,微风
云南,昆明,2014,1,29,星期三,20℃,4℃,晴,无持续风向,微风
云南,昆明,2014,1,30,星期四,21℃,4℃,晴,无持续风向,微风
云南,昆明,2014,1,31,星期五,21℃,4℃,晴,无持续风向,微风
甘肃,兰州,2014,1,1,星期三,2℃,-7℃,晴,无持续风向,微风
甘肃,兰州,2014,1,2,星期四,1℃,-9℃,多云,无持续风向,微风
甘肃,兰州,2014,1,3,星期五,4℃,-10℃,晴,无持续风向,微风
甘肃,兰州,2014,1,4,星期六,4℃,-9℃,晴,无持续风向,微风
甘肃,兰州,2014,1,5,星期日,3℃,-6℃,多云,无持续风向,微风
甘肃,兰州,2014,1,6,星期一,1℃,-9℃,多云,无持续风向,微风
甘肃,兰州,2014,1,7,星期二,-3℃,-12℃,多云,北风,3-4级
甘肃,兰州,2014,1,8,星期三,-2℃,-12℃,晴,北风,微风
甘肃,兰州,2014,1,9,星期四,2℃,-9℃,晴,无持续风向,微风
甘肃,兰州,2014,1,10,星期五,0℃,-8℃,多云,无持续风向,微风
甘肃,兰州,2014,1,11,星期六,1℃,-11℃,多云,无持续风向,微风
甘肃,兰州,2014,1,12,星期日,1℃,-11℃,晴,无持续风向,微风
甘肃,兰州,2014,1,13,星期一,4℃,-10℃,晴,无持续风向,微风
甘肃,兰州,2014,1,14,星期二,4℃,-8℃,晴,无持续风向,微风
甘肃,兰州,2014,1,15,星期三,3℃,-10℃,多云,无持续风向,微风
甘肃,兰州,2014,1,16,星期四,6℃,-8℃,晴,无持续风向,微风
甘肃,兰州,2014,1,17,星期五,6℃,-8℃,晴,无持续风向,微风
